NAME,ATTN,ADD1,ADD2,DEPT,CITY,STATE,ZIP,USA,PHONE
M & S SHEET METAL INC.,,328 20TH AVENUE S.E.,BOX 878,,MINOT,ND,58702,USA,701-852-1491,
MAC ARTHUR COMPANY,,P.O. BOX 21459,,,BILLINGS,MT,59104,USA,406-252-4637,
MAC ARTHUR COMPANY,,2400 WYCLIFF STREET,,,ST PAUL,MN,55114,USA,651-646-2773,
MAC ARTHUR COMPANY,,3001 NORTH 1ST AVENUE,,,SIOUX FALLS,SD,57104,USA,605-336-9050,
MC CARL'S INC.,,1413 9TH AVENUE,P.O. BOX 161,,BEAVER FALLS,PA,15010,USA,724-843-5660,
MC CARTHY PLBG & HTG INC.,,321 NORTH CEDAR,,,OWATONNA,MN,55060,USA,507-451-1430,
WILLIAM F. MC CORMICK,,408 GRANT AVENUE,P.O. BOX 217,,YORK,NE,684670217,USA,402-362-4156,
MC CORVEY SHEET MTL WORKS,,500 SOUTH MAIN,,,GALENA PARK,TX,77547,USA,713-672-7545,
MC CUSKER - GILL INC.,,75 INDUSTRIAL PARK ROAD,,,HINGHAM,MA,020434306,USA,781-740-5800,
O.C. MC DONALD CO. INC.,,1150 WEST SAN CARLOS,,,SAN JOSE,CA,95126,USA,408-295-2182,
MC DOWALL COMPANY,,2720 SOUTH 1-1/2 STREET,PO BOX 1244,,ST CLOUD,MN,56302,USA,320-251-8640,
MC ELROY SERVICE COMPANY,,2429 W. OLD LINCOLN HWY.,P.O. 2005,,GRAND ISLAND,NE,68802,USA,308-382-3300,
MC ELROY'S INC.,,3209 SOUTH TOPEKA,,,TOPEKA,KS,66611,USA,913-266-4870,
MC FADDEN MECHANICAL INC,,3523 K STREET,,,PHILADELPHIA,PA,191341412,USA,215-289-1616,
MC FARLANE SHEET METAL,,HWY 81 NORTH,P.O. BOX 12095,,GRAND FORKS,ND,582082095,USA,701-772-9511,
M.G. MC GRATH INC.,,1387 COPE AVENUE EAST,,,MAPLEWOOD,MN,551092602,USA,651-704-0300,
MC GUIRE MECHANICAL,,20830 HOLT,P.O. BOX 219,,LAKEVILLE,MN,55044,USA,952-469-4988,
MC KAMISH/CHESAPEAKE INC,,55TH STREET & A V R R,,,PITTSBURGH,PA,15201,USA,412-781-6262,
MC KINSTRY COMPANY,,5005 3RD AVENUE SOUTH,P.O. BOX 24567,,SEATTLE,WA,98134,USA,206-762-3311,
MC LEES INCORPORATED,,241 ARDEN DRIVE,P.O. BOX 1080,,BELGRADE,MT,59714,USA,406-388-1401,
MC QUILLAN BROS. PLBG. &,     HEATING CO.,452 SELBY AVE.,,,ST. PAUL,MN,55102,USA,651-292-0124,
MACKAY ENVELOPE CORP.,,2100 ELM STREET S.E.,,,MINNEAPOLIS,MN,55414,USA,612-378-6293,
MADDENS INC.,,R.D. #1, BOX 280B,P.O. BOX 199,,HOLLIDAYSBURG,PA,16648,USA,814-695-2156,
MADIGAN REFRIGERATION &,ENERGY SYSTEMS  INC.,5305 COUNTY TRUNK M,,,WAUNAKEE,WI,53597,USA,608-255-0880,
MAGNUSON SHEET METAL INC,,2020 5TH STREET,,,WILLMAR,MN,56201,USA,320-599-4474,
MAINTENANCE BY PREVENTION,,6B CT.,FREEDOM HILLS PARK,,GILLETTE,WY,827169721,USA,307-682-8442,
MALBRIT HTG & COOLING INC,,310 SOUTH 4TH STREET,P.O. BOX 427,,WAUSAU,WI,544020427,USA,715-845-4848,
MANAGED SERVICES INC.,,6500 OXFORD STREET,,,ST. LOUIS PARK,MN,55426,USA,0-925-4111,
MANKATO PLBG. & HEATING,,530 NORTH RIVER FRONT DR.,,,MANKATO,MN,56001,USA,507-388-7012,
MANNING MECHANICAL INC.,,2012 GREAT NORTHERN DRIVE,P.O. BOX 1540,,FARGO,ND,58107,USA,701-293-9774,
MAPLE GROVE HEATING & A/C,,401 COUNTY ROAD 81,,,OSSEO,MN,55369,USA,763-424-2110,
MARED MECH. CONTR. CORP.,,4230 WEST DOUGLAS ROAD,,,MILWAUKEE,WI,53209,USA,414-536-0411,
MARESH SHEET METAL INC.,,905 17TH STREET NE,,,CEDAR RAPIDS,IA,52402,USA,319-364-0286,
MARSH HEATING & A/C,,6248 LAKELAND AVE. NORTH,,,BROOKLYN PARK,MN,55428,USA,763-536-0667,
JAKE MARSHALL,SHEET METAL INC,2906 S. HICKORY ST.,,,CHATTANOOGA,TN,37407,USA,423-698-6312,
MARSHALL & WELLS CO. INC,,P.O. BOX 2823,,,GRAND RAPIDS,MI,495012823,USA,616-361-2000,
MARTIN DUCT SYSTEMS INC.,,4545 COMMERCE AVENUE,,,CLEVELAND,OH,,USA,216-391-0092,
MARVIN LUMBER & CEDAR CO,,PO BOX 100,,,WARROAD,MN,56763,USA,218-386-1430,
MASTER MECHANICAL INC.,,1027 GEMINI ROAD,,,EAGAN,MN,55121,USA,651-905-1600,
MASTER METALS,,1236 CLINTON STREET,,,LA CROSSE,WI,54603,USA,608-784-0210,
MASTER S/M CONTR. INC.,,1218 BUCHANAN,,,ROCKFORD,IL,61101,USA,815-965-5425,
MAXWELL HTG. & A/C. INC.,,P.O. BOX 238,,,LUCK,WI,548530238,USA,715-472-8206,
MC'S HEATING & A/C,,320 ELTON ROAD,P.O. BOX 6472,,JACKSON,MS,392826472,USA,601-372-9325,
R.W. MEAD COMPANY,,33795 RIVIERA,,,FRASER,MI,48026,USA,313-296-3650,
MECHANICAL AIR SYSTEMS CO,,425 SOUTH FEDERAL,P.O. BOX 1706,,MASON CITY,IA,50401,USA,641-423-7032,
MECHANICAL CONTRACTING CO,,R.R. 4,  BOX 49-B,,,UNION TOWN,PA,15401,USA,0-000-0000,
MECHANICAL EQUIPMENT,     SERVICES CORPORATION,3122 49TH STREET,,,DES MOINES,IA,50310,USA,515-276-9131,
MECHANICAL INC.,,1520 WEST MOHAWK DRIVE,,,TOMAHAWK,WI,54487,USA,715-453-7021,
MECHANICAL INDUSTRIES INC,,P.O. BOX 2203,,,NORCROSS,GA,30091,USA,404-662-8500,
MECHANICAL SERVICES OF,     ORLANDO  INC.,9440 SIDNEY HAYES RD.,,,ORLANDO,FL,32824,USA,407-855-6644,
MECH. SYSTEMS OF DAYTON,,4401 SPRINGFIELD STREET,,,DAYTON,OH,45437,USA,937-254-3235,
MECHANICAL SYSTEMS INC.,,625 EAST 13TH STREET,P.O. BOX 3029,,WICHITA,KS,67201,USA,316-262-2021,
MECHANICAL SYSTEMS INC.,,7835 "F" STREET,,,OMAHA,NE,68127,USA,402-339-7277,
MEDTRONIC,,7000 CENTRAL AVE NE,P.O. BOX 778,,MPLS,MN,55432,USA,763-574-4861,
MENDEL HEATING & A/C,,209 WEST GROVE,,,MAQUOKETA,IA,52060,USA,319-652-5086,
GARY MENNE & SON INC.,,BOX 593,,,WYOMING,MN,55092,USA,651-462-4053,
MERIT HVAC INC.,,7801 PARK DRIVE,,,CHANHASSEN,MN,55317,USA,952-474-1725,
MERIT MECH. SERVICES INC,,1601 A STREET,,,HELENA,MT,59601,USA,406-443-1150,
MERRICK COMPANY,,819 EAST LIBERTY STREET,,,LOUISVILLE,KY,40204,USA,502-584-6267,
ADRIAN L. MERTON INC.,,9011 E. HAMPTON DRIVE,P.O. BOX 3570,,CAPITOL HEIGHTS,MD,207913570,USA,301-336-2700,
F.J. MERWALD & SONS,,5032 SOUTH 24TH STREET,,,OMAHA,NE,68107,USA,402-731-4600,
MERZ SHEET METAL INC,,509 SOUTH WILLOW,P.O. BOX 1305,,EFFINGHAM,IL,62401,USA,217-342-2323,
METAL MART SYSTEMS INC.,,255 CENTURY BOULEVARD,,,BARTOW,FL,33830,USA,800-940-4041,
METAL SPECIALISTS,,1790 STEUBEN STREET,,,SIOUX CITY,IA,511052068,USA,712-258-8130,
METAL SPECIALTIES INC.,,9238 YUCCA LANE NORTH,,,MAPLE GROVE,MN,553698322,USA,952-446-1976,
METAL WORKS OF,MONTANA  INC.,109 NORTH CALIFORNIA,,,MISSOULA,MT,59801,USA,406-728-5070,
METRO AIR,,16980 WELCOME AVE. S.E.,,,PRIOR LAKE,MN,55372,USA,952-447-8124,
METRO AIR CONDITIONING CO,,10016 DARNELL,,,LENEXA,KS,66215,USA,913-888-3991,
METROPOLITAN MECH. CO,,7340 WASHINGTON AVE. SO.,,,EDEN PRAIRIE,MN,55344,USA,952-941-7010,
MEXICO HEATING CO. INC.,,RT. 1 - BOX 189,,,MEXICO,MO,65265,USA,314-581-4288,
MEYERS SHEET METAL WORKS,,113 EAST 8TH,,,WATERLOO,IA,50703,USA,319-234-2676,
MID-CENTRAL HEATING & A/C,,111 3RD AVE. N.W.,P.O. BOX 313,,FREEPORT,MN,56331,USA,320-836-2502,
MIDLAND HTG. & A/C INC.,,6442 PENN AVENUE SOUTH,,,MPLS,MN,55423,USA,0-869-3213,
MIDLAND SHT MTL CO. INC.,,5151 QUINCY,,,KANSAS CITY,MO,64130,USA,816-924-3200,
MID STATE CONTRACTING LLC,,2001 COUNTY HWY "U",P.O. BOX 1425,,WAUSAU,WI,544021425,USA,715-675-2388,
MIDSTATE PLUMBING & HTG.,,2120 2ND AVENUE SOUTH,P.O. BOX 811,,FORT DODGE,IA,50501,USA,515-573-2561,
MID-STATES HTG & COOLING,,13910 NORBY,,,GRANDVIEW,MO,64030,USA,816-765-7886,
MIDWAY INDUSTRIAL SUPPLY,,4759 OLD HIWAY 8,,,ST. PAUL,MN,55112,USA,651-780-3000,
MIDWEST HTG & SHT MTL INC,,BOX 105,,,LANSFORD,ND,58750,USA,701-784-5545,
MIDWEST MECHANICAL,,540 EXECUTIVE DRIVE,,,WILLOWBROOK,IL,605215690,USA,708-850-2300,
MIDWEST PLUMBING HEATING,AND AIR CONDITIONING INC.,401 NORTHWESTERN AVE.,,,NORFOLK,NE,68701,USA,402-371-3915,
MIKE'S HEATING & SHT MTL,,2318 FIRST AVENUE,,,HIBBING,MN,55746,USA,218-263-6129,
MIKE'S SHEET METAL,PRODUCTS  INC.,7231 26TH STREET,,,RIO LINDA,CA,95673,USA,916-991-3061,
FRANK MILLARD & CO. INC.,,107 VALLEY STREET,P.O. BOX 278,,BURLINGTON,IA,52601,USA,319-752-4571,
MILLER ENGINEERING CO.,,1616 SOUTH MAIN STREET,,,ROCKFORD,IL,61102,USA,815-963-4878,
MILLER BONDED INC.,,4538 MC LEOD N.E.,,,ALBUQUERQUE,NM,87109,USA,505-881-0220,
MILLER SHEET METAL,,3808 BURDICK EXPY EAST,,,MINOT,ND,587015359,USA,701-839-4510,
MPLS. SPECIAL SCHOOL,,DISTRICT #1,807 N.E. BROADWAY,,MINNEAPOLIS,MN,55413,USA,612-668-0370,
MINNESOTA LIMITED INC.,,14485 NORTHDALE BOULEVARD,,,ROGERS,MN,55374,USA,763-428-4444,
MINNESOTA PLBG. & HTG.,,1420 WEST 3RD AVENUE,,,SHAKOPEE,MN,55379,USA,952-445-4444,
MINNETONKA WOODCRAFT,,6022 CULLIGAN WAY,,,MINNETONKA,MN,55343,USA,952-935-9595,
MISSOULA SHEET METAL,,209 TRADE STREET,P.O. BOX 4005,,MISSOULA,MT,59806,USA,406-728-1680,
MIXAN HEATING AND A/C INC,,6135 HOLMES STREET,,,OMAHA,NE,68117,USA,402-731-5070,
MODERN AIRE INC.,,515 WEST 2ND STREET,BOX 511,,HAVRE,MT,59501,USA,406-265-2711,
MODERN HEATING & AIR COND,,2318 1ST STREET N.E.,,,MPLS,MN,55418,USA,0-781-3358,
MOLO OIL COMPANY,,123 SOUTHERN AVENUE,P.O. BOX 719,,DUBUQUE,IA,520040719,USA,319-557-7540,
MONROE PIPING & SHEET,METAL  INC.,68 HUMBOLDT STREET,,,ROCHESTER,NY,14609,USA,716-482-0200,
MOORE MECHANICAL SERVICES,,325 MARE LANE,,,SAN RAMON,CA,94583,USA,510-830-8740,
F.E. MORAN INC.,,2265 CARLSON DRIVE,,,NORTHBROOK,IL,60062,USA,847-498-4800,
MORGAN METALS CO. INC.,,P.O. BOX 1202,,,DECATUR,AL,356021202,USA,256-233-7011,
MOSLEY INC.,,410 NORTH HIGHWAY 86,P.O. BOX 519,,LAKEFIELD,MN,56150,USA,507-662-6227,
MUKAVITZ HEATING INC.,,111 SOUTH LAWRANCE,,,IRONWOOD,MI,49938,USA,906-932-1770,
MYERS HEATING & A/C,,318 EAST CAPITOL,,,GRAND ISLAND,NE,68801,USA,308-382-8153,
MYERS WHOLESALE S/M & SUP,,226 BROAD STREET,,,NEWARK,OH,43055,USA,614-344-4050,
MYHRUM HEATING & PLUMBING,,R.R.3 - BOX 25 A,,,FOSSTON,MN,56542,USA,218-435-6131,
N C I,,P.O. BOX 5507,,,EUREKA,CA,955025507,USA,707-442-1705,
N & N HEATING & A/C INC.,,39 HINES AVENUE,,,MAHWAH,NJ,07430,USA,201-529-1230,
NS/I MECHANICAL CONTR CO.,NORTHWESTERN SERVICE  INC,2300 TERRITORIAL ROAD,,,ST. PAUL,MN,55114,USA,651-646-8677,
NABCO MECH. & ELEC. INC.,,1101 LINCOLN STREET,P.O. BOX 1547,,CONWAY,AR,72032,USA,501-327-1337,
NASH FINCH COMPANY,,7600 FRANCE AVENUE S.,P.O. BOX 355,,MINNEAPOLIS,MN,554400355,USA,952-832-0534,
NATIONAL CRANE CORP.,,11200 NORTH 148TH STREET,,,WAVERLY,NE,68462,USA,402-786-6300,
NATIONAL GENERAL SPLY INC,,410 14TH STREET S.W.,P.O. BOX 2288,,GREAT FALLS,MT,59403,USA,406-761-6861,
NEEL AIR CONDITIONING,,250 COMMERCIAL DRIVE,,,THOMASVILLE,GA,317574843,USA,912-226-2743,
NEIDHARDT HEATING & A/C,,42 - 38TH STREET,,,WHEELING,WV,26003,USA,304-233-5040,
NELSON CARLSON MECH. CTR.,,10021 N. 9TH AVE,,,PHOENIX,AZ,850212306,USA,602-945-4350,
NELSON PLBG. & HEATING,SHEET METAL & REFRIG.,P.O. BOX 1222,,,GREAT FALLS,MT,59403,USA,406-761-4664,
NEMITZ SHEET METAL INC.,,EAST 7221 NORA AVENUE,,,SPOKANE,WA,992121201,USA,509-924-0220,
NEUHOFF HEATING & A/C INC,,RR #8 EAST LAKE DRIVE,,,SPRINGFIELD,IL,62707,USA,217-529-5887,
NEW MECH COMPANIES INC.,,1633 EUSTIS STREET,,,ST. PAUL,MN,55108,USA,651-645-0451,
NEWLAND HEATING & S/M,,RTE. 2,,,SHEVLIN,MN,56676,USA,218-657-2322,
NIAGARA FRONTIER S/M INC,,3310 BENZING ROAD,,,ORCHARD PARK,NY,14127,USA,716-826-6825,
NIELSEN'S EQUIPMENT,    AND DESIGN  INC.,4301 QUEBEC AVENUE N.,,,NEW HOPE,MN,55428,USA,763-536-9919,
NORDIC SERVICES INC.,,12006 12TH AVENUE SOUTH,,,BURNSVILLE,MN,55337,USA,952-894-5800,
DEAN E. NORRIS CO. INC,,4053 NAVAJO LANE,,,WICHITA,KS,97210,USA,316-688-1901,
NORTH AMERICAN MECHANICAL,,6135 NORTH AMERICAN LANE,  (HWY.51 & I-90),,DE FOREST,WI,53532,USA,608-241-4328,
R.E. NORTH COMPANY,,2420 EAST 38TH STREET,P.O.  BOX 10486,,ERIE,PA,16514,USA,814-825-5000,
NORTH COUNTRY SERVICE,OF EAST BETHEL,18226 GREENBROOK DR.,,,WYOMING,MN,55092,USA,763-434-7786,
NORTH COUNTRY SHEET METAL,,1463 HARBOR STREET,BOX 171,,OGILVIE,MN,56358,USA,320-272-4209,
NORTHERN AIR CORPORATION,,75 SOUTH OWASSO BLVD.,,,LITTLE CANADA,MN,55117,USA,612-490-9868,
NORTHERN PACIFIC S/M INC.,,219 SOUTH 24TH,,,BILLINGS,MT,59101,USA,406-248-1757,
NORTHERN PLUMBING SUPPLY,,2010 STATE MILL ROAD,P.O. BOX 14567,,GRAND FORKS,ND,582084567,USA,701-775-3911,
NORTHWEST AIRLINES,,A/P DEPT. C1143,5101 NORTHWEST DRIVE,,ST. PAUL,MN,551113034,USA,651-726-7625,
NORTHWEST SHEETMETAL CO.,OF ST. PAUL,110 SYCAMORE ST. WEST,,,ST PAUL,MN,551175451,USA,651-310-0102,
NORTON SHEET METAL INC.,,2462 PATTERSON BRIDGE RD,,,HEPHZIBAH,GA,308154951,USA,0-000-0000,
NOVAK HEATING & A/C. INC,,56 16TH AVENUE S.W.,P.O. BOX 189,,CEDAR RAPIDS,IA,524060189,USA,319-364-4626,
A.G. O'BRIEN PLBG. & HTG.,,4907 LIGHTNING DRIVE,,,HERMANTOWN,MN,55811,USA,218-729-9662,
O'BRIEN HEATING & SHT MTL,,224 SOUTH MAIN STREET,,,LE SEUER,MN,56058,USA,612-332-6387,
O'BRIEN SHEET METAL INC.,,144 GLENWOOD AVENUE NORTH,,,MINNEAPOLIS,MN,55405,USA,612-339-1213,
O'CONNOR COMPANY,,2201 EAST 54TH STREET NO.,P.O. BOX 86636,,SIOUX FALLS,SD,571186636,USA,605-336-0333,
O'CONNOR PLBG. & HTG. INC,,1904 VERMILLION STREET,,,HASTINGS,MN,55033,USA,651-437-4177,
P.E. O'HAIR COMPANY,,8400 24TH AVENUE,,,SACRAMENTO,CA,95826,USA,916-383-6110,
O'HARE ENGINEERING,,55 MESSNER DRIVE,,,WHEELING,IL,60090,USA,312-459-5527,
O'KEEFE MECHANICAL,,7251 WASHINGTON AVE. SO.,,,EDINA,MN,55439,USA,952-941-1391,
OAHU PLBG. & SHT. MTL.LTD,,938 KOHOU STREET,P.O. BOX 17010,,HONOLULU,HI,96817,USA,808-848-0110,
OHIO AIR CONDITIONING,,10200 MEECH AVENUE,,,CLEVELAND,OH,44105,USA,216-441-5366,
OLSON BROS. INC.,,2651 ST. MARYS AVENUE,,,OMAHA,NE,68105,USA,402-341-2360,
OLSON SHT MTL WORKS INC.,,925 EAST HENNEPIN AVENUE,,,MPLS,MN,55414,USA,612-331-6360,
OMNI DUCT INC.,,1700 SOUTH LEWIS STREET,,,ANAHEIM,CA,92805,USA,714-385-8900,
ORTONVILLE PLBG. & HTG.,,RT. 2 BOX 2,,,ORTONVILLE,MN,56278,USA,0-839-3100,
OSCEOLA PLUMBING & HTG.,,309 2ND AVENUE,P.O. BOX 307,,OSCEOLA,WI,54020,USA,715-294-4322,
OTTO-AERCO INC.,,330 S.W. WASHINGTON,P.O. BOX 5005,,PEORIA,IL,61601,USA,309-674-6197,
OWATONNA HTG. & COOLING,,406 NORTH CEDAR AVENUE,,,OWATONNA,MN,55060,USA,507-451-2051,
OWENS SERVICES CORP.,,930 EAST 80TH STREET,,,MPLS,MN,55420,USA,952-854-3800,
OXFORD MACH. SALES CO.,,P.O. BOX 86,,,OXFORD,MA,01540,USA,617-987-1187,
OZARK YORK INC.,,1131 SOUTH GRANT AVENUE,,,SPRINGFIELD,MO,65807,USA,417-831-2881,
PMI CONSTRUCTION COMPANY,,2310 WEST COUNTY ROAD D,,,ST. PAUL,MN,55112,USA,651-636-1499,
PADUCAH SHEET METAL INC.,,930 MONROE STREET,P.O. BOX 1099,,PADUCAH,KY,420011099,USA,502-443-7394,
D.L. PAGE INC.,,1213 TAYLOR STREET,P.O. BOX 1257,,ELYRIA,OH,44036,USA,216-365-8311,
PALEN-KIMBALL CO.,,550 VANDALIA,,,ST PAUL,MN,55114,USA,952-646-2800,
PALMER SHEET METAL,,85 PIERSON LANE,P.O. BOX 52,,WINDSOR,CT,06095,USA,860-688-3611,
PALOMAR COMPANY INC.,,2740 WEST ARMITAGE AVENUE,,,CHICAGO,IL,60647,USA,312-227-1717,
PALOUSE EMPIRE INC.,,160 E. PALOUSE RIVER DR.,P.O. BOX 8156,,MOSCOW,ID,83843,USA,208-882-1505,
PANE HEATING & ELECTRIC,,60 BURNSIDE DRIVE,,,TONAWANDA,NY,141504422,USA,716-692-6792,
PARKER PLBG. & HEATING CO,,R R # BOX 96,,,SLAYTON,MN,56172,USA,507-836-6560,
PASSAIC METAL PRODUCTS,,5 CENTRAL AVENUE,P.O. BOX 1849,,CLIFTON,NJ,070151849,USA,973-546-9000,
PATTERSON COMPANY,,4405 NORTH STAR BLVD.,P.O. BOX 2890,,GREAT FALLS,MT,59403,USA,406-727-6575,
PAUL'S HEATING & A/C CO.,,1513 GEORGE STREET,P.O. BOX 488,,LA CROSSE,WI,546020488,USA,608-784-0751,
PAUL'S SHEET METAL INC.,,1017 HAUGEN AVENUE,P.O. BOX 247,,RICE LAKE,WI,54868,USA,715-234-7707,
PAULSON PLBG. & HEATING,,339 LITTLE ROAD,,,BARNUM,MN,55707,USA,218-389-3119,
PAULSON'S SHEET METAL,,1500 WEST THIRD STREET,P.O. BOX 848,,MITCHELL,SD,573010848,USA,605-996-8616,
PAYSON SHEET METAL,,451 NORTH MAIN,,,PAYSON,UT,84651,USA,801-465-3018,
PECK HANNAFORD & BRIGGS,,4670 CHESTER AVE.,P.O. BOX 32097,,CINCINNATI,OH,45232,USA,513-681-4600,
PEGG-WHITNEY WOODWORKS,,2823 CENTRAL AVENUE N.E.,,,MINNEAPOLIS,MN,55418,USA,0-782-1852,
PEN CITY SHEET METAL,,1515 AVENUE L,P.O. BOX 563,,FORT MADISON,IA,52627,USA,319-372-8143,
PENINSULA PIPING CO.,,806 6TH STREET,P.O. BOX 89,,MENOMINEE,MI,49858,USA,906-863-9948,
PENN STATE UNIVERSITY,DEPT. OF AEROSPACE ENGIN.,233 HAMMOND BUILDING,,,UNIVERSITY PARK,PA,16802,USA,814-865-2569,
PERFORMANCE CONTRS. INC.,,16047 WEST 110TH STREET,,,LENEXA,KS,66215,USA,913-888-8600,
PHYSICAL ELECTRONICS,,6509 FLYING CLOUD DR.,,,EDEN PRAIRIE,MN,55344,USA,952-828-6100,
PERMA GROOVE,,P.O. BOX 1016,,,LAKEVILLE,MN,550441016,USA,952-469-4961,
PETE'S REPAIR INC.,,8835 XYLON AVENUE NORTH,,,BROOKLYN PARK,MN,55445,USA,763-493-2628,
PETERS-EICHLER HEATING CO,,3115 SUTTON AVENUE,,,ST. LOUIS,MO,63143,USA,314-647-4023,
PETERSON HEATING & A/C,,7152 72ND LANE NORTH,,,BROOKLYN PARK,MN,55428,USA,612-599-3940,
MARTIN PETERSEN CO. INC.,,9625 55TH STREET,,,KENOSHA,WI,531447811,USA,262-658-1326,
PETERSON MECHANICAL,,3001 1ST AVENUE NORTH,P.O. BOX 302,,FARGO,ND,58107,USA,701-293-7206,
PETERSON MECHANICAL INC.,,21819 8TH STREET EAST,P.O. BOX 450,,SONOMA,CA,95476,USA,707-938-8481,
PETERSON SHEET METAL,,3728 BEMIDJI AVENUE NORTH,,,BEMIDJI,MN,56601,USA,218-751-4502,
PHARO HEATING COMPANY INC,,5341 W. RIVER ROAD,BOX 271,,WAUNAKEE,WI,53597,USA,608-836-4588,
PHILLIPS GETSCHOW CO.,,229 VAN BUREN,,,OCONTO FALLS,WI,541541135,USA,920-846-8000,
PHILLIPS SHEET METAL,,1525 EAST NOBLE AVENUE,,,VISALIA,CA,932923043,USA,209-625-3045,
PHILLIPS SHEET METAL CO.,,700 ELK STREET,,,BUFFALO,NY,14210,USA,716-824-3374,
PIERCE REFRIGERATION,,1920 2ND AVENUE SOUTH,,,ANOKA,MN,55303,USA,763-421-3604,
PIPCO CO. LTD.,,1409 ALTORFER DRIVE,,,PEORIA,IL,61615,USA,309-692-4060,
PLAINSCO INC.,,USE ACCT. #20060,NAME HAS BEEN CHANGED,,TO DAKOTA SPPY,SD,,USA,605-225-7100,
PLUMB SUPPLY COMPANY,,P.O. BOX 4558,,,DES MOINES,IA,50306,USA,641-423-0164,
PNEUMA COMPANY INC.,,1803 UNION VALLEY ROAD,,,WEST MILFORD,NJ,07480,USA,973-728-5067,
POLAR REFRIGERATION,,514 EAST BROADWAY,P.O. BOX 1056,,WILLISTON,ND,58802,USA,701-774-8354,
PORTLAND AIR CONDITIONING,,50 DIAMOND STREET,P.O. BOX 10300,,PORTLAND,ME,04104,USA,207-871-1800,
POSTLER-JAECKLE INC.,,615 SOUTH AVENUE #1,,,ROCHESTER,NY,146201385,USA,716-546-7450,
POVOLNY SPECIALTIES,,7350 COURTHOUSE BLVD.,,,INVER GROVE HGT,MN,55077,USA,952-452-7335,
POWDER RIVER HTG. & A/C,,3707 TANNER ROAD,P.O. 245,,GILLETTE,WY,82717,USA,307-682-3009,
POWER ENGINEERING CORP.,,P.O. BOX 766,,,WILKES-BARRE,PA,18703,USA,717-823-8822,
POWER INSULATION COMPANY,,7100 MEDICINE LAKE ROAD,,,GOLDEN VALLEY,MN,55427,USA,0-546-7239,
POWRMATIC INC.,,2906 BALTIMORE BLVD.,,,FINKSBURG,MD,21048,USA,301-833-9100,
PRAIRIE PLBG. & HTG. INC.,,401 JOHN Q. ADAMS,P.O. BOX 486,,SAUK CITY,WI,53583,USA,608-643-8531,
PRAWL ENGINEERING CORP.,,5328 CENTER STREET,,,OMAHA,NE,68106,USA,402-556-8600,
PRECISION AIR PRODUCTS CO,,1125 EAST 79TH STREET,,,BLOOMINGTON,MN,55420,USA,952-854-4121,
PREFERRED SHT MTL INC.,,90 WEST WOODLAND AVENUE,,,ST. PAUL,MN,55117,USA,651-484-7275,
PRESIDENTIAL SHEET METAL,,245 WINTHROP STREET,,,QUINCY,MA,021693138,USA,617-871-0347,
PRICE & JAMES,,666 FRONT STREET,P.O. BOX 96,,BEREA,OH,44017,USA,216-234-2291,
PRILL BROTHERS INC.,,44 FORT ROAD,DRAWER S,,SHERIDAN,WY,82801,USA,307-674-4436,
THE PRINTER,,7401 KILMER LANE,,,MAPLE GROVE,MN,55369,USA,763-424-7446,
PRO CONTROL INC.,,501 132ND AVENUE N.E.,,,MINNEAPOLIS,MN,55434,USA,763-754-7770,
PRO-TEL INC.,,N22 W22922 NANCY COURT,,,WAUKESHA,WI,53186,USA,262-544-5354,
PRODUCTION PRODUCTS INC.,,30487 POTOMAC WAY,,,CHARLOTTE HALL,MD,20622,USA,301-472-4200,
PROULX REFRIG. & HEATING,,524 MARIN AVENUE,,,CROOKSTON,MN,56716,USA,218-281-1370,
E.L. PRUITT CO.,,2900 RTE. 54 EAST,P.O. BOX 3306,,SPRINGFIELD,IL,62708,USA,217-789-0966,
PULLMAN SHEET METAL,,1400 EAST 97TH PLACE,,,CHICAGO,IL,60628,USA,312-374-6700,
ART PUSH & SONS INC.,,6110 BINNEY STREET,P.O. BOX 4189,,OMAHA,NE,68104,USA,402-551-5418,
Q & Q INC.,,P.O. 1647,,,EATON PARK,FL,33840,USA,813-665-6197,
QUALITY AIR HTG. & COOL,,3395 CRAFT AVENUE S.E.,,,GRAND RAPIDS,MI,49512,USA,616-956-0200,
QUALITY HEATING & A/C INC,,6141 ETZEL AVENUE,,,ST. LOUIS,MO,63133,USA,314-721-1263,
QUALITY SHEET METAL,,1126 EAST BROADWAY,P.O. BOX 707,,WINONA,MN,559870678,USA,507-454-4614,
QUALITY SHEET METALS INC,,701B INDUSTRIAL PARK ROAD,P.O. BOX 3272,,CARBONDALE,IL,62902,USA,618-549-7371,
QUANTRELL ENGINEERING &,MANUFACTURING CO.  INC.,P.O. BOX 294,,,SAUK RAPIDS,MN,56379,USA,320-393-4455,
R.A. HEATING & A/C. INC.,,598 SOUTH WATER STREET,,,EVANSVILLE,WI,53536,USA,608-256-6089,
R G B SHEET METAL,,HIGHWAY 49 NORTH,P.O. BOX 1927,,JONESBORO,AR,72403,USA,501-972-1560,
RH HEATING & A/C INC.,,1341 OHIO STREET,,,WEST ST. PAUL,MN,55118,USA,651-450-1935,
R & S HEATING & A/C,,12600 CREEKVIEW AVENUE,,,SAVAGE,MN,55378,USA,952-894-0376,
R & S REFRIGERATION,,ROUTE 1 BOX 304,,,NEW PRAGUE,MN,56071,USA,1-758-4340,
